,y,rain_intensity,rain_accumulation,temperature,lag_1,lag_8,lag_12,lag_24
1045,35,0.0,0.0,36.69,27.0,5.0,1.0,33.0
1046,46,0.0,0.0,36.62,35.0,4.0,1.0,26.0
1047,27,0.0,0.0,37.39,46.0,3.0,1.0,34.0
1048,31,0.0,0.0,37.43,27.0,3.0,1.0,37.0
1049,42,0.0,0.0,36.7,31.0,5.0,5.0,47.0
1050,42,0.0,0.0,34.27,42.0,17.0,4.0,62.0
1051,88,0.0,0.0,32.82,42.0,26.0,3.0,78.0
1052,71,0.0,0.0,31.74,88.0,27.0,3.0,78.0
1053,49,0.0,0.0,30.97,71.0,35.0,5.0,58.0
1054,31,0.0,0.0,30.6,49.0,46.0,17.0,51.0
1055,15,0.0,0.0,30.2,31.0,27.0,26.0,22.0
1056,2,0.0,0.0,29.86,15.0,31.0,27.0,8.0
1057,2,0.0,0.0,29.72,2.0,42.0,35.0,1.0
1058,2,0.0,0.0,29.52,2.0,42.0,46.0,1.0
1059,0,0.0,0.0,29.23,2.0,88.0,27.0,1.0
1060,1,0.0,0.0,29.0,0.0,71.0,31.0,1.0
1061,1,0.0,0.0,28.84,1.0,49.0,42.0,5.0
1062,1,0.0,0.0,28.67,1.0,31.0,42.0,4.0
1063,4,0.0,0.0,29.56,1.0,15.0,88.0,3.0
1064,4,0.0,0.0,30.66,4.0,2.0,71.0,3.0
1065,7,0.0,0.0,32.4,4.0,2.0,49.0,5.0
1066,17,0.0,0.0,33.1,7.0,2.0,31.0,17.0
1067,25,0.0,0.0,35.25,17.0,0.0,15.0,26.0
1068,43,0.0,0.0,35.67,25.0,1.0,2.0,27.0
1069,48,0.0,0.0,37.03,43.0,1.0,2.0,35.0
1070,46,0.0,0.0,38.31,48.0,1.0,2.0,46.0
1071,35,0.0,0.0,38.62,46.0,4.0,0.0,27.0
1072,37,0.0,0.0,39.05,35.0,4.0,1.0,31.0
1073,49,0.0,0.0,38.97,37.0,7.0,1.0,42.0
1074,56,0.0,0.0,36.63,49.0,17.0,1.0,42.0
1075,94,0.0,0.0,34.21,56.0,25.0,4.0,88.0
1076,101,0.0,0.0,32.9,94.0,43.0,4.0,71.0
1077,48,0.0,0.0,32.18,101.0,48.0,7.0,49.0
1078,29,0.0,0.0,31.35,48.0,46.0,17.0,31.0
1079,23,0.0,0.0,30.76,29.0,35.0,25.0,15.0
1080,28,0.0,0.0,30.28,23.0,37.0,43.0,2.0
1081,3,0.0,0.0,29.99,28.0,49.0,48.0,2.0
1082,1,0.0,0.0,30.05,3.0,56.0,46.0,2.0
1083,1,0.0,0.0,30.09,1.0,94.0,35.0,0.0
1084,1,0.0,0.0,30.02,1.0,101.0,37.0,1.0
1085,4,0.0,0.0,29.92,1.0,48.0,49.0,1.0
1086,0,0.0,0.0,29.75,4.0,29.0,56.0,1.0
1087,1,0.0,0.0,30.85,0.0,23.0,94.0,4.0
1088,2,0.0,0.0,31.05,1.0,28.0,101.0,4.0
1089,5,0.0,0.0,32.22,2.0,3.0,48.0,7.0
1090,13,0.0,0.0,34.97,5.0,1.0,29.0,17.0
1091,25,0.0,0.0,34.68,13.0,1.0,23.0,25.0
1092,37,0.0,0.0,36.74,25.0,1.0,28.0,43.0
1093,27,0.0,0.0,37.71,37.0,4.0,3.0,48.0
1094,40,0.0,0.0,38.25,27.0,0.0,1.0,46.0
1095,33,0.0,0.0,38.95,40.0,1.0,1.0,35.0
1096,27,0.0,0.0,38.68,33.0,2.0,1.0,37.0
1097,51,0.0,0.0,38.38,27.0,5.0,4.0,49.0
1098,60,0.0,0.0,37.13,51.0,13.0,0.0,56.0
1099,67,0.0,0.0,35.16,60.0,25.0,1.0,94.0
1100,68,0.0,0.0,33.68,67.0,37.0,2.0,101.0
1101,35,0.0,0.0,32.7,68.0,27.0,5.0,48.0
1102,33,0.0,0.0,32.03,35.0,40.0,13.0,29.0
1103,17,0.0,0.0,31.58,33.0,33.0,25.0,23.0
1104,4,0.0,0.0,30.82,17.0,27.0,37.0,28.0
1105,4,0.0,0.0,30.51,4.0,51.0,27.0,3.0
1106,2,0.0,0.0,30.44,4.0,60.0,40.0,1.0
1107,3,0.0,0.0,30.57,2.0,67.0,33.0,1.0
1108,0,0.0,0.0,30.47,3.0,68.0,27.0,1.0
1109,2,0.0,0.0,30.12,0.0,35.0,51.0,4.0
1110,2,0.0,0.0,30.11,2.0,33.0,60.0,0.0
1111,1,0.0,0.0,30.67,2.0,17.0,67.0,1.0
1112,3,0.0,0.0,31.88,1.0,4.0,68.0,2.0
1113,6,0.0,0.0,33.12,3.0,4.0,35.0,5.0
1114,22,0.0,0.0,34.66,6.0,2.0,33.0,13.0
1115,36,0.0,0.0,35.52,22.0,3.0,17.0,25.0
1116,31,0.0,0.0,37.23,36.0,0.0,4.0,37.0
1117,44,0.0,0.0,38.65,31.0,2.0,4.0,27.0
1118,38,0.0,0.0,40.01,44.0,2.0,2.0,40.0
1119,51,0.0,0.0,39.56,38.0,1.0,3.0,33.0
1120,58,0.0,0.0,39.28,51.0,3.0,0.0,27.0
1121,54,0.0,0.0,38.75,58.0,6.0,2.0,51.0
1122,102,0.0,0.0,36.69,54.0,22.0,2.0,60.0
1123,127,0.0,0.0,34.48,102.0,36.0,1.0,67.0
1124,93,0.0,0.0,33.27,127.0,31.0,3.0,68.0
1125,64,0.0,0.0,32.15,93.0,44.0,6.0,35.0
1126,59,0.0,0.0,31.32,64.0,38.0,22.0,33.0
1127,30,0.0,0.0,31.16,59.0,51.0,36.0,17.0
1128,14,0.0,0.0,30.92,30.0,58.0,31.0,4.0
1129,8,0.0,0.0,30.98,14.0,54.0,44.0,4.0
1130,5,0.0,0.0,30.89,8.0,102.0,38.0,2.0
1131,5,0.0,0.0,30.79,5.0,127.0,51.0,3.0
1132,2,0.0,0.0,30.75,5.0,93.0,58.0,0.0
1133,2,0.0,0.0,30.61,2.0,64.0,54.0,2.0
1134,1,0.0,0.0,30.38,2.0,59.0,102.0,2.0
1135,2,0.0,0.0,30.52,1.0,30.0,127.0,1.0
1136,2,0.0,0.0,31.18,2.0,14.0,93.0,3.0
1137,7,0.0,0.0,32.4,2.0,8.0,64.0,6.0
1138,18,0.0,0.0,34.4,7.0,5.0,59.0,22.0
1139,23,0.0,0.0,35.75,18.0,5.0,30.0,36.0
1140,35,0.0,0.0,36.92,23.0,2.0,14.0,31.0
1141,38,0.0,0.0,39.69,35.0,2.0,8.0,44.0
1142,40,0.0,0.0,39.86,38.0,1.0,5.0,38.0
1143,62,0.0,0.0,39.58,40.0,2.0,5.0,51.0
1144,47,0.0,0.0,40.2,62.0,2.0,2.0,58.0
1145,56,0.0,0.0,38.6,47.0,7.0,2.0,54.0
1146,69,0.0,0.4,34.87,56.0,18.0,1.0,102.0
1147,64,0.0,0.4,32.52,69.0,23.0,2.0,127.0
1148,74,0.0,0.4,30.7,64.0,35.0,2.0,93.0
1149,83,0.0,0.4,28.86,74.0,38.0,7.0,64.0
1150,64,0.0,0.4,29.16,83.0,40.0,18.0,59.0
1151,51,0.0,0.6,29.25,64.0,62.0,23.0,30.0
1152,8,0.0,0.6,30.14,51.0,47.0,35.0,14.0
1153,7,0.0,0.0,30.62,8.0,56.0,38.0,8.0
1154,5,0.0,0.0,30.64,7.0,69.0,40.0,5.0
1155,4,0.0,0.0,30.51,5.0,64.0,62.0,5.0
1156,3,0.0,0.0,30.7,4.0,74.0,47.0,2.0
1157,3,0.0,0.0,30.72,3.0,83.0,56.0,2.0
1158,2,0.0,0.0,30.79,3.0,64.0,69.0,1.0
1159,2,0.0,0.0,30.94,2.0,51.0,64.0,2.0
1160,2,0.0,0.0,31.37,2.0,8.0,74.0,2.0
1161,4,0.0,0.0,33.24,2.0,7.0,83.0,7.0
1162,7,0.0,0.0,33.36,4.0,5.0,64.0,18.0
1163,12,0.0,0.0,33.64,7.0,4.0,51.0,23.0
1164,18,0.0,0.0,35.37,12.0,3.0,8.0,35.0
1165,24,0.0,0.0,36.55,18.0,3.0,7.0,38.0
1166,33,0.0,0.0,37.73,24.0,2.0,5.0,40.0
1167,23,0.0,0.0,39.14,33.0,2.0,4.0,62.0
1168,27,0.0,0.0,38.75,23.0,2.0,3.0,47.0
1169,36,0.0,0.0,37.24,27.0,4.0,3.0,56.0
1170,41,0.0,0.0,36.44,36.0,7.0,2.0,69.0
1171,51,0.0,0.0,34.93,41.0,12.0,2.0,64.0
1172,60,0.0,0.0,33.44,51.0,18.0,2.0,74.0
1173,63,0.0,0.0,32.69,60.0,24.0,4.0,83.0
1174,73,0.0,0.0,31.55,63.0,33.0,7.0,64.0
1175,62,0.0,0.0,30.87,73.0,23.0,12.0,51.0
1176,17,0.0,0.0,30.48,62.0,27.0,18.0,8.0
1177,2,0.0,0.0,30.28,17.0,36.0,24.0,7.0
1178,6,0.0,0.0,30.46,2.0,41.0,33.0,5.0
1179,1,0.0,0.0,30.49,6.0,51.0,23.0,4.0
1180,2,0.0,0.0,30.07,1.0,60.0,27.0,3.0
1181,0,0.0,0.0,30.34,2.0,63.0,36.0,3.0
1182,1,0.0,0.0,30.33,0.0,73.0,41.0,2.0
1183,3,0.0,0.0,30.97,1.0,62.0,51.0,2.0
1184,4,0.0,0.0,31.47,3.0,17.0,60.0,2.0
1185,6,0.0,0.0,32.95,4.0,2.0,63.0,4.0
1186,10,0.0,0.0,34.4,6.0,6.0,73.0,7.0
1187,30,0.0,0.0,36.22,10.0,1.0,62.0,12.0
1188,27,0.0,0.0,37.02,30.0,2.0,17.0,18.0
1189,27,0.2,1.8,28.84,27.0,0.0,2.0,24.0
1190,23,0.0,5.0,26.47,27.0,1.0,6.0,33.0
1191,28,0.0,5.0,29.27,23.0,3.0,1.0,23.0
1192,25,0.0,5.0,30.57,28.0,4.0,2.0,27.0
1193,61,0.0,5.0,28.67,25.0,6.0,0.0,36.0
1194,45,0.0,5.8,28.3,61.0,10.0,1.0,41.0
