,y,rain_intensity,rain_accumulation,temperature,lag_1,lag_8,lag_12,lag_24
161,10,0.0,0.0,30.3,2.0,0.0,0.0,36.0
162,10,0.0,0.0,29.69,10.0,0.0,3.0,71.0
163,16,0.0,0.0,29.33,10.0,1.0,0.0,99.0
164,15,0.0,0.0,28.69,16.0,2.0,0.0,83.0
165,6,0.0,0.0,28.41,15.0,2.0,0.0,22.0
166,9,0.0,0.0,28.74,6.0,7.0,0.0,8.0
167,11,0.0,0.0,28.91,9.0,3.0,1.0,20.0
168,7,0.0,0.0,28.59,11.0,2.0,2.0,4.0
169,0,0.0,0.0,28.38,7.0,10.0,2.0,6.0
170,0,0.0,0.0,28.2,0.0,10.0,7.0,2.0
171,1,0.0,0.0,27.87,0.0,16.0,3.0,2.0
172,1,0.0,0.0,27.66,1.0,15.0,2.0,0.0
173,1,0.0,0.0,27.59,1.0,6.0,10.0,0.0
174,1,0.0,0.0,27.44,1.0,9.0,10.0,3.0
175,1,0.0,0.0,26.94,1.0,11.0,16.0,0.0
176,0,0.0,0.0,27.77,1.0,7.0,15.0,0.0
177,8,0.0,0.0,29.51,0.0,0.0,6.0,0.0
178,17,0.0,0.0,30.08,8.0,0.0,9.0,0.0
179,12,0.0,0.0,31.71,17.0,1.0,11.0,1.0
180,5,0.0,0.0,32.1,12.0,1.0,7.0,2.0
181,4,0.0,0.0,34.63,5.0,1.0,0.0,2.0
182,4,0.0,0.0,34.09,4.0,1.0,0.0,7.0
183,6,0.0,0.0,35.69,4.0,1.0,1.0,3.0
184,13,0.0,0.0,33.28,6.0,0.0,1.0,2.0
185,20,0.0,0.0,30.42,13.0,8.0,1.0,10.0
186,27,0.0,0.0,30.68,20.0,17.0,1.0,10.0
187,82,0.0,0.0,28.92,27.0,12.0,1.0,16.0
188,85,0.0,0.0,28.8,82.0,5.0,0.0,15.0
189,37,0.0,0.0,28.46,85.0,4.0,8.0,6.0
190,12,0.0,0.0,28.03,37.0,4.0,17.0,9.0
191,5,0.0,0.0,27.57,12.0,6.0,12.0,11.0
192,4,0.0,0.0,27.18,5.0,13.0,5.0,7.0
193,5,0.0,0.0,27.22,4.0,20.0,4.0,0.0
194,0,0.0,0.0,26.72,5.0,27.0,4.0,0.0
195,0,0.0,0.0,26.48,0.0,82.0,6.0,1.0
196,0,0.0,0.0,26.31,0.0,85.0,13.0,1.0
197,8,0.0,0.0,26.1,0.0,37.0,20.0,1.0
198,0,0.0,0.0,26.08,8.0,12.0,27.0,1.0
199,0,0.0,0.0,26.15,0.0,5.0,82.0,1.0
200,1,0.0,0.0,28.6,0.0,4.0,85.0,0.0
201,3,0.0,0.0,31.58,1.0,5.0,37.0,8.0
202,14,0.0,0.0,32.99,3.0,0.0,12.0,17.0
203,8,0.0,0.0,33.83,14.0,0.0,5.0,12.0
204,4,0.0,0.0,35.11,8.0,0.0,4.0,5.0
205,6,0.0,0.0,35.49,4.0,8.0,5.0,4.0
206,4,0.0,0.0,37.03,6.0,0.0,0.0,4.0
207,2,0.0,0.0,36.91,4.0,0.0,0.0,6.0
208,8,0.0,0.0,36.92,2.0,1.0,0.0,13.0
209,26,0.0,0.0,35.57,8.0,3.0,8.0,20.0
210,44,0.0,0.0,35.21,26.0,14.0,0.0,27.0
211,140,0.0,0.0,33.03,44.0,8.0,0.0,82.0
212,143,0.0,0.0,32.01,140.0,4.0,1.0,85.0
213,42,0.0,0.0,31.35,143.0,6.0,3.0,37.0
214,13,0.0,0.0,31.13,42.0,4.0,14.0,12.0
