,y,rain_intensity,rain_accumulation,temperature,lag_1,lag_8,lag_12,lag_24
593,35,0.0,0.0,43.39,39.0,44.0,2.0,34.0
594,30,0.0,0.0,41.74,35.0,76.0,7.0,24.0
595,38,0.0,0.0,39.31,30.0,75.0,6.0,50.0
596,41,0.0,0.0,37.43,38.0,80.0,17.0,68.0
597,62,0.0,0.0,35.12,41.0,47.0,44.0,82.0
598,85,0.0,0.0,33.96,62.0,43.0,76.0,56.0
599,29,0.0,0.0,33.06,85.0,37.0,75.0,51.0
600,72,0.0,0.0,32.5,29.0,39.0,80.0,64.0
601,51,0.0,0.0,32.29,72.0,35.0,47.0,50.0
602,12,0.0,0.0,31.37,51.0,30.0,43.0,12.0
603,11,0.0,0.0,31.23,12.0,38.0,37.0,3.0
604,3,0.0,0.0,30.84,11.0,41.0,39.0,5.0
605,8,0.0,0.0,30.3,3.0,62.0,35.0,2.0
606,10,0.0,0.0,29.79,8.0,85.0,30.0,7.0
607,1,0.0,0.0,30.12,10.0,29.0,38.0,6.0
608,32,0.0,0.0,32.24,1.0,72.0,41.0,17.0
609,67,0.0,0.0,34.09,32.0,51.0,62.0,44.0
610,115,0.0,0.0,34.56,67.0,12.0,85.0,76.0
611,81,0.0,0.0,36.92,115.0,11.0,29.0,75.0
612,107,0.0,0.0,38.36,81.0,3.0,72.0,80.0
613,56,0.0,0.0,39.8,107.0,8.0,51.0,47.0
614,48,0.0,0.0,40.06,56.0,10.0,12.0,43.0
615,34,0.0,0.0,40.49,48.0,1.0,11.0,37.0
616,45,0.0,0.0,40.07,34.0,32.0,3.0,39.0
617,43,0.0,0.0,39.69,45.0,67.0,8.0,35.0
618,41,0.0,0.0,37.57,43.0,115.0,10.0,30.0
619,33,0.0,0.0,35.8,41.0,81.0,1.0,38.0
620,81,0.0,0.0,34.32,33.0,107.0,32.0,41.0
621,137,0.0,0.0,32.84,81.0,56.0,67.0,62.0
622,114,0.0,0.0,31.75,137.0,48.0,115.0,85.0
623,42,0.0,0.0,31.06,114.0,34.0,81.0,29.0
624,57,0.0,0.0,30.69,42.0,45.0,107.0,72.0
625,75,0.0,0.0,30.67,57.0,43.0,56.0,51.0
626,27,0.0,0.0,30.64,75.0,41.0,48.0,12.0
627,6,0.0,0.0,30.35,27.0,33.0,34.0,11.0
628,4,0.0,0.0,30.4,6.0,81.0,45.0,3.0
629,6,0.0,0.0,30.25,4.0,137.0,43.0,8.0
630,7,0.0,0.0,29.99,6.0,114.0,41.0,10.0
631,2,0.0,0.0,30.22,7.0,42.0,33.0,1.0
632,10,0.0,0.0,31.37,2.0,57.0,81.0,32.0
633,57,0.0,0.0,32.97,10.0,75.0,137.0,67.0
634,72,0.0,0.0,35.38,57.0,27.0,114.0,115.0
635,60,0.0,0.0,37.43,72.0,6.0,42.0,81.0
636,68,0.0,0.0,38.46,60.0,4.0,57.0,107.0
637,48,0.0,0.0,40.77,68.0,6.0,75.0,56.0
638,42,0.0,0.0,41.97,48.0,7.0,27.0,48.0
639,52,0.0,0.0,42.47,42.0,2.0,6.0,34.0
640,27,0.0,0.0,44.15,52.0,10.0,4.0,45.0
641,42,0.0,0.0,43.62,27.0,57.0,6.0,43.0
642,45,0.0,0.0,39.93,42.0,72.0,7.0,41.0
643,45,0.0,0.0,37.65,45.0,60.0,2.0,33.0
644,59,0.0,0.0,34.29,45.0,68.0,10.0,81.0
645,80,0.0,0.0,32.45,59.0,48.0,57.0,137.0
646,96,0.0,0.0,32.16,80.0,42.0,72.0,114.0
647,43,0.0,0.0,31.48,96.0,52.0,60.0,42.0
648,38,0.0,0.0,31.17,43.0,27.0,68.0,57.0
649,49,0.0,0.0,30.94,38.0,42.0,48.0,75.0
650,9,0.0,0.0,30.84,49.0,45.0,42.0,27.0
651,5,0.0,0.0,30.84,9.0,45.0,52.0,6.0
652,5,0.0,0.0,30.49,5.0,59.0,27.0,4.0
653,1,0.0,0.0,30.34,5.0,80.0,42.0,6.0
654,6,0.0,0.0,30.23,1.0,96.0,45.0,7.0
655,10,0.0,0.0,30.59,6.0,43.0,45.0,2.0
656,9,0.0,0.0,32.51,10.0,38.0,59.0,10.0
657,25,0.0,0.0,35.4,9.0,49.0,80.0,57.0
658,49,0.0,0.0,37.0,25.0,9.0,96.0,72.0
659,36,0.0,0.0,39.28,49.0,5.0,43.0,60.0
660,55,0.0,0.0,40.3,36.0,5.0,38.0,68.0
661,34,0.0,0.0,41.88,55.0,1.0,49.0,48.0
662,42,0.0,0.0,42.91,34.0,6.0,9.0,42.0
663,37,0.0,0.0,43.31,42.0,10.0,5.0,52.0
664,34,0.0,0.0,43.61,37.0,9.0,5.0,27.0
