,y,rain_intensity,rain_accumulation,temperature,lag_1,lag_8,lag_12,lag_24
190,34,0.0,0.0,28.03,67.0,16.0,42.0,26.0
191,12,0.0,0.0,27.57,34.0,13.0,32.0,23.0
192,1,0.0,0.0,27.18,12.0,26.0,33.0,4.0
193,3,0.0,0.0,27.22,1.0,37.0,23.0,8.0
194,0,0.0,0.0,26.72,3.0,65.0,16.0,3.0
195,0,0.0,0.0,26.48,0.0,84.0,13.0,1.0
196,2,0.0,0.0,26.31,0.0,113.0,26.0,3.0
197,1,0.0,0.0,26.1,2.0,67.0,37.0,2.0
198,2,0.0,0.0,26.08,1.0,34.0,65.0,6.0
199,2,0.0,0.0,26.15,2.0,12.0,84.0,5.0
200,2,0.0,0.0,28.6,2.0,1.0,113.0,5.0
201,4,0.0,0.0,31.58,2.0,3.0,67.0,12.0
202,21,0.0,0.0,32.99,4.0,0.0,34.0,42.0
203,23,0.0,0.0,33.83,21.0,0.0,12.0,32.0
204,42,0.0,0.0,35.11,23.0,2.0,1.0,33.0
205,34,0.0,0.0,35.49,42.0,1.0,3.0,23.0
206,23,0.0,0.0,37.03,34.0,2.0,0.0,16.0
207,23,0.0,0.0,36.91,23.0,2.0,0.0,13.0
208,23,0.0,0.0,36.92,23.0,2.0,2.0,26.0
209,40,0.0,0.0,35.57,23.0,4.0,1.0,37.0
210,52,0.0,0.0,35.21,40.0,21.0,2.0,65.0
211,85,0.0,0.0,33.03,52.0,23.0,2.0,84.0
212,83,0.0,0.0,32.01,85.0,42.0,2.0,113.0
213,59,0.0,0.0,31.35,83.0,34.0,4.0,67.0
214,30,0.0,0.0,31.13,59.0,23.0,21.0,34.0
215,14,0.0,0.0,30.23,30.0,23.0,23.0,12.0
216,7,0.0,0.0,29.06,14.0,23.0,42.0,1.0
217,6,0.0,0.0,28.79,7.0,40.0,34.0,3.0
218,3,0.0,0.0,29.39,6.0,52.0,23.0,0.0
219,2,0.0,0.0,29.1,3.0,85.0,23.0,0.0
220,1,0.0,0.0,28.78,2.0,83.0,23.0,2.0
221,1,0.0,0.0,28.65,1.0,59.0,40.0,1.0
222,1,0.0,0.0,28.22,1.0,30.0,52.0,2.0
223,6,0.0,0.0,27.93,1.0,14.0,85.0,2.0
224,1,0.0,0.0,29.64,6.0,7.0,83.0,2.0
225,10,0.0,0.0,34.09,1.0,6.0,59.0,4.0
226,19,0.0,0.0,34.32,10.0,3.0,30.0,21.0
227,14,0.0,0.0,34.37,19.0,2.0,14.0,23.0
228,14,0.0,0.0,35.12,14.0,1.0,7.0,42.0
229,13,0.0,0.0,35.34,14.0,1.0,6.0,34.0
230,8,0.0,0.0,35.93,13.0,1.0,3.0,23.0
231,24,0.0,0.0,36.52,8.0,6.0,2.0,23.0
232,18,0.0,0.0,35.34,24.0,1.0,1.0,23.0
233,34,0.0,0.0,35.84,18.0,10.0,1.0,40.0
234,45,0.0,0.0,33.93,34.0,19.0,1.0,52.0
235,77,0.0,0.0,32.37,45.0,14.0,6.0,85.0
236,87,0.0,0.0,31.08,77.0,14.0,1.0,83.0
237,58,0.0,0.0,30.51,87.0,13.0,10.0,59.0
238,27,0.0,0.0,29.86,58.0,8.0,19.0,30.0
239,14,0.0,0.0,29.58,27.0,24.0,14.0,14.0
240,4,0.0,0.0,29.23,14.0,18.0,14.0,7.0
241,6,0.0,0.0,28.74,4.0,34.0,13.0,6.0
242,1,0.0,0.0,28.0,6.0,45.0,8.0,3.0
243,4,0.0,0.0,28.19,1.0,77.0,24.0,2.0
244,1,0.0,0.0,28.32,4.0,87.0,18.0,1.0
245,3,0.0,0.0,28.34,1.0,58.0,34.0,1.0
246,10,0.0,0.0,27.67,3.0,27.0,45.0,1.0
247,4,0.0,0.0,27.67,10.0,14.0,77.0,6.0
248,7,0.0,0.0,29.57,4.0,4.0,87.0,1.0
249,7,0.0,0.0,29.6,7.0,6.0,58.0,10.0
250,6,0.0,0.0,32.2,7.0,1.0,27.0,19.0
251,12,0.0,0.0,32.39,6.0,4.0,14.0,14.0
252,8,0.0,0.0,33.43,12.0,1.0,4.0,14.0
253,13,0.0,0.0,32.79,8.0,3.0,6.0,13.0
254,8,0.0,0.0,32.92,13.0,10.0,1.0,8.0
255,4,0.0,0.0,32.91,8.0,4.0,4.0,24.0
256,6,0.0,0.0,31.87,4.0,7.0,1.0,18.0
257,14,0.0,0.0,31.96,6.0,7.0,3.0,34.0
258,17,0.0,0.0,31.26,14.0,6.0,10.0,45.0
259,33,0.0,0.0,30.88,17.0,12.0,4.0,77.0
260,42,0.0,0.0,30.01,33.0,8.0,7.0,87.0
261,33,0.0,0.0,29.02,42.0,13.0,7.0,58.0
262,16,0.0,0.0,28.48,33.0,8.0,6.0,27.0
263,16,0.0,0.0,28.34,16.0,4.0,12.0,14.0
264,10,0.0,0.0,28.3,16.0,6.0,8.0,4.0
265,3,0.0,0.0,28.37,10.0,14.0,13.0,6.0
266,0,0.0,0.0,27.97,3.0,17.0,8.0,1.0
267,0,0.0,0.0,27.54,0.0,33.0,4.0,4.0
268,1,0.0,0.0,27.53,0.0,42.0,6.0,1.0
269,1,0.0,0.0,27.16,1.0,33.0,14.0,3.0
270,4,0.0,0.0,26.72,1.0,16.0,17.0,10.0
271,2,0.0,0.0,26.97,4.0,16.0,33.0,4.0
272,5,0.0,0.0,27.63,2.0,10.0,42.0,7.0
273,8,0.0,0.0,30.82,5.0,3.0,33.0,7.0
274,30,0.0,0.0,32.95,8.0,0.0,16.0,6.0
275,27,0.0,0.0,34.23,30.0,0.0,16.0,12.0
276,30,0.0,0.0,35.33,27.0,1.0,10.0,8.0
277,39,0.0,0.0,35.85,30.0,1.0,3.0,13.0
278,22,0.0,0.0,36.95,39.0,4.0,0.0,8.0
279,35,0.0,0.0,36.48,22.0,2.0,0.0,4.0
280,47,0.0,0.0,35.57,35.0,5.0,1.0,6.0
281,46,0.0,0.0,35.07,47.0,8.0,1.0,14.0
282,71,0.0,0.0,33.81,46.0,30.0,4.0,17.0
283,101,0.0,0.0,32.97,71.0,27.0,2.0,33.0
284,89,0.0,0.0,32.48,101.0,30.0,5.0,42.0
285,97,0.0,0.0,32.17,89.0,39.0,8.0,33.0
286,41,0.0,0.0,31.58,97.0,22.0,30.0,16.0
287,21,0.0,0.0,30.77,41.0,35.0,27.0,16.0
288,19,0.0,0.0,30.33,21.0,47.0,30.0,10.0
289,3,0.0,0.0,29.75,19.0,46.0,39.0,3.0
290,1,0.0,0.0,29.26,3.0,71.0,22.0,0.0
