,y,rain_intensity,rain_accumulation,temperature,lag_1,lag_8,lag_12,lag_24
1115,709,0.0,0.0,35.52,640.0,25.0,228.0,664.0
1116,689,0.0,0.0,37.23,709.0,19.0,139.0,606.0
1117,655,0.0,0.0,38.65,689.0,45.0,66.0,487.0
1118,681,0.0,0.0,40.01,655.0,51.0,34.0,487.0
1119,571,0.0,0.0,39.56,681.0,68.0,25.0,412.0
1120,538,0.0,0.0,39.28,571.0,102.0,19.0,402.0
1121,562,0.0,0.0,38.75,538.0,314.0,45.0,509.0
1122,715,0.0,0.0,36.69,562.0,640.0,51.0,551.0
1123,1076,0.0,0.0,34.48,715.0,709.0,68.0,722.0
1124,996,0.0,0.0,33.27,1076.0,689.0,102.0,723.0
1125,780,0.0,0.0,32.15,996.0,655.0,314.0,486.0
1126,599,0.0,0.0,31.32,780.0,681.0,640.0,379.0
1127,325,0.0,0.0,31.16,599.0,571.0,709.0,228.0
1128,229,0.0,0.0,30.92,325.0,538.0,689.0,139.0
1129,94,0.0,0.0,30.98,229.0,562.0,655.0,66.0
1130,37,0.0,0.0,30.89,94.0,715.0,681.0,34.0
1131,27,0.0,0.0,30.79,37.0,1076.0,571.0,25.0
1132,31,0.0,0.0,30.75,27.0,996.0,538.0,19.0
1133,72,0.0,0.0,30.61,31.0,780.0,562.0,45.0
1134,70,0.0,0.0,30.38,72.0,599.0,715.0,51.0
1135,83,0.0,0.0,30.52,70.0,325.0,1076.0,68.0
1136,112,0.0,0.0,31.18,83.0,229.0,996.0,102.0
1137,267,0.0,0.0,32.4,112.0,94.0,780.0,314.0
1138,484,0.0,0.0,34.4,267.0,37.0,599.0,640.0
1139,558,0.0,0.0,35.75,484.0,27.0,325.0,709.0
1140,675,0.0,0.0,36.92,558.0,31.0,229.0,689.0
1141,625,0.0,0.0,39.69,675.0,72.0,94.0,655.0
1142,606,0.0,0.0,39.86,625.0,70.0,37.0,681.0
1143,701,0.0,0.0,39.58,606.0,83.0,27.0,571.0
1144,575,0.0,0.0,40.2,701.0,112.0,31.0,538.0
1145,760,0.0,0.0,38.6,575.0,267.0,72.0,562.0
1146,885,0.0,0.4,34.87,760.0,484.0,70.0,715.0
1147,977,0.0,0.4,32.52,885.0,558.0,83.0,1076.0
